date;year;agency;type;country;cityPais;city;event_title;title;speakers;language;URL_document;Observations
3-5 august  2022;2022;UN-GGIM;Expert Group Meeting;Online;Online;Online;Twelfth Session of the United Nations Committee of Experts on Global Geospatial Information Management (UN-GGIM);Application of geospatial information related to land administration and management ;46;Inglés;https://ggim.un.org/meetings/GGIM-committee/12th-Session/documents/E-C.20_2022_13_Add_1_Land_Administration_and_Management.pdf;FELA translation into French and Dutch
11-12 May 2022;2022;Geospatial World;Seminar;the Netherlands;Amsterdam;Amsterdam;Geospatial World Forum 2022, Symposium on Land Administration;Modern Land Administration, Innovation and Investment for Sustainable Development;47;Inglés;;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Framework for Effective Land Administration (FELA);29;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/1.3_Kees_de_Zeeuw.pdf;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Effective Land Administration - Digitally-Enabled Urban Planning in Singapore;48;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/1.2_Ching_Tuan_Yee.pdf;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Enhancing Land Administration in Fiji through the IGIF and It's Country Action Plan;49;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/1.4_Meizyanne_Hicks.pdf;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Progress Report on the Revision of the Land Administration Domain Model (LADM);50,51,52,53;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/2.2_Chris_Body.pdf;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Road Map to Implement the Framework for Effective Land Administration System in Sri Lanka;54;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/6.2_MTM_Rafeek.pdf;
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Leveraging FELA, Sharing Experiences from the Netherlands and Abroad;55;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/6.3_Paula_Dijkstra.pdf;Netherlands' implementation of FELA through Kadaster
17-18 May 2022;2022;UN-GGIM;Expert Group Meeting;Singapore;Singapore;Singapore;Fourth expert meeting of the Expert Group on Land Administration and Management and International Seminar on United Nations Global Geospatial Information Management;Implementing the Framework for Effective Land Administration (FELA);10;Inglés;https://ggim.un.org/meetings/2022/4th-EG-LAM/documents/6.1_Eva_Marie_Unger.pdf;
12 August 2021;2021;UN-GGIM;Expert Group Meeting;Online;Online;Online;Expert Group on Land Administration and Management Side Event at the Eleventh Session of the Committee of Experts on Global Geospatial Information Management;Framework for Effective Land Administration: -Implementation of the FELA, -FELA: Spanish, Arabic, Chinese, -Mexico’s experience in the implementation of FELA;29,56,10,9,18,58,59,60,61,62;Inglés;https://www.youtube.com/watch?v=tp2RcZr1EgM;FELA translation into Spanish, Arabic, Chineese
26-27 August - 4 September  2020;2020;UN-GGIM;Expert Group Meeting;Online;Online;Online;Tenth Session of the United Nations Committee of Experts on Global Geospatial Information Management (UN-GGIM);Application of geospatial information related to land administration and management ;46;Inglés;https://ggim.un.org/meetings/GGIM-committee/10th-Session/documents/E_C.20_2020_29-LAM-S.pdf;The members collaborated remotely to finalize FELA
may-20;2020;UN-GGIM;Document;;;;Actual version FELA;;46;Inglés;https://ggim.un.org/meetings/GGIM-committee/10th-Session/documents/E-C.20-2020-29-Add_2-Framework-for-Effective-Land-Administration.pdf;
3-5 November 2019;2019;UN-GGIM;Meeting;Australia;AustraliaC;Canberra;Eighth Plenary Meeting of UN-GGIM-AP (Asia-Pacific);Report from UN-GGIM Expert Group on Land Administration and Management (within Session 6: Working Group 2 on Cadastre and Land Management);29,63,64,9,10;Inglés;https://un-ggim-ap.org/sites/default/files/media/meetings/Plenary08/WG2_5A%20Rohan%20Bennett_Framework%20for%20Effective%20Land%20Administration%20%28FELA%29.pdf;First introduction of FELA
5 - 9 August 2019;2019;UN-GGIM;Expert Group Meeting;USA;USAc;New York;Ninth Session of the United Nations Committee of Experts on Global Geospatial Information Management (UN-GGIM);Application of geospatial information related to land administration and management ;46;Inglés;https://ggim.un.org/meetings/GGIM-committee/9th-Session/documents/E_C.20_2020_10_Add_1_LAM_background.pdf?;First formal draft of the FELA
2-4 August 2017;2017;UN-GGIM;Expert Group Meeting;USA;USAc;New York;Eighth Session of the United Nations Committee of Experts on Global Geospatial Information Management (UN-GGIM);Application of geospatial information related to land administration and management ;46;Inglés;https://ggim.un.org/meetings/GGIM-committee/8th-Session/documents/E_C.20_2018_12_land_administration_E.pdf;The group proposed developing a global framework on land administration
